,Category,Message
3714,ham,meeting ü rite ill go home lor ü dun feel like comin ok
1311,ham,ill always even spirit ill get bb soon trying sure need
548,ham,sorry took long omw
1324,ham,thk shd ok said plus minus ü leave line paragraphs
3184,ham,dunno juz askin cos got card got salon called hair sense tot da one ü cut ur hair
1075,ham,aight ill get fb couple minutes
1412,ham,somewhere beneath pale moon light someone think dreams come true goodnite sweet dreams
3043,ham,slaaaaave must summon time dont wish come anymore
14,ham,date sunday
5097,ham,sorry mates phone didnt write love kate
3484,ham,hello love goes day wish well fine babe hope find job prospects miss boytoy teasing kiss
2208,ham,usually body takes care buy making sure doesnt progress pls continue talk saturday
4454,ham,guess min
3941,ham,daddy bb
5108,ham,sign maturity start saying big things actually start understanding small things nice evening bslvyl
954,ham,also remember get dobbys bowl car
2488,ham,ill drinkpa need srs model pls send mail id pa
1389,ham,oh ki think wi nz players unsold
1998,ham,yeh def something satjust got payedday havbeen given £ pay rise work havebeen made preschoolcoordinator feelingood luv
1355,ham,baaaaabe misss youuuuu go teach class
979,ham,hey pay salary de
5092,ham,fri ah okie lorgoin drivin den go shoppin tt
1878,ham,pen thing beyond joke wont biro dont masters cant ever
3181,ham,size elephant tablets shove um ur ass
2955,ham,think might give miss teaching til twelve lecture two damn working thing
5069,ham,talk
4382,ham,mathews tait edwards anderson
4440,ham,want grasp pretty booty
5119,ham,lol real told dad cancer
31,ham,yeah got apologetic fallen actin like spoilt child got caught till wont go badly cheers
3928,ham,lol really need remember eat im drinking appreciate keeping company night babe smiles
1218,ham,damn make tonight want wait til tomorrow
5533,ham,hey chief give bell get need talk royal visit st june
1138,ham,lol busy
5553,ham,hahahause brain dear
1787,ham,know god created gap fingers one made comes fills gaps holding hand love
2837,ham,nicenicehow working
2911,ham,guys go see movies side
3880,ham,left vague said would inform person accounting delayed rent discuss housing agency renting another place checking online places around usc
4862,ham,nokia phone lovly
2509,ham,ok
3461,ham,back bit long cos accident divert via wadebridgei brilliant weekend thanks speak soon lots love
4105,ham,hav frnd name ashwini ur college
5273,ham,latebut kwish
5548,ham,trying weekend
3146,ham,ill get tomorrow send
175,ham,well im gon na finish bath goodfine night
3831,ham,agree stop thinkin ipad please ask macho question
119,ham,hmmmy uncle informed hes paying school directly pls buy food
2062,ham,hey want crave miss need love ahmad saeed al hallaq
1068,ham,meeting work tel shall work tomorrow
1847,ham,engalnd telly decided wont let watch mia elliot kissing damn
5167,ham,oh charge camera
2641,ham,pandy joined technologies todayhe got job
5127,ham,cuz ibored wan na study
5474,ham,wheres mummys boy good bad positive negative mummy made wait hmmmm
908,ham,ill give plus said grinule greet whenever speak
4253,ham,send ur birthdate month year tel ur life partners name method calculation reply must
4553,ham,symptoms love like listening songs get stopped see name beloved wont get angry
3033,ham,jokin lar depends phone father get lor
3690,ham,still coming tonight
4245,ham,aight im chillin friends room text youre way
4970,ham,cme want go hos morow wil cme got dear didnt say time
5241,ham,part checking iq
2975,ham,ill text carlos let know hang
4504,ham,stupidits possible
4232,ham,really pig leh sleep much dad wake smth eat lunch today
43,ham,seeing
3031,ham,also sir sent email log usc payment portal ill send another message explain things back home great weekend
3054,ham,pls send correct name da
3537,ham,oic cos sis got lunch today dad went dunno whether eat sch wat
5363,ham,think mentor percent sure
4632,ham,got hella gas money want go grand nature adventure galileo little bit
3673,ham,came look flat seems ok away alot wiv work got woman coming
2966,ham,yet hadya sapna aunty manege yday hogidhechinnu full weak swalpa black agidhane
2827,ham,ok lor
4177,ham,hes lag thats sad part keep touch thanks skype
4081,ham,sir good morning hope good weekend called let know able raise dad however said would make rest available mid feb amount still quite short hoping would help good day abiola
1361,ham,yo dude guess got arrested day
1669,ham,yesbut said
1806,ham,god blessget good sleep deari pray
4613,ham,sorry da gone mad many pending works
438,ham,long applebees fucking take
4922,ham,common hearin wat ur day let ask something different smile today gud evng
1210,ham,bday real april
5352,ham,good morning princess great day
4898,ham,cant pick phone right pls send message
234,ham,yeshere tv always available work place
848,ham,officewhats mattermsg nowi call break
1402,ham,kaiez enjoy ur tuition gee thk second option sounds beta ill go yan jiu den msg
726,ham,got looks scrumptious daddy wants eat night long
3004,ham,see half hour
4292,ham,call ure done
5404,ham,pls give prometazine syrup mls mins later feed
4747,ham,orh tot say still dun believe
649,ham,prob send email
409,ham,headin towards busetop
96,ham,watching telugu moviewat abt
483,ham,watching tv lor
3303,ham,stop calling everyone saying might cancer throat hurts talk cant answering everyones calls get one call im babysitting monday
2787,ham,cthen thk shd enuff still got conclusion contents pg references ill da contents pg cover pg
4853,ham,liked new house
4974,ham,oops shower called hey parking garage collapsed university hospital see im crazy stuff like happen
867,ham,consider walls bunkers shit important never play peaceful guess place high enough dont matter
5231,ham,realise busy guy im trying bother get exams outta way try cars gr day
2197,ham,much textin bout
1201,ham,otherwise part time job natuition
3990,ham,ok lor anyway thk cant get tickets cos like quite late already wan go look ur frens darren wif
212,ham,home always chat
1737,ham,come tomorrow di
4282,ham,wn hurt prsn close fight wit dem coz somtimes dis fight saves relation bt quiet leaves nothin relation gud eveb
4403,ham,good friends care close friends understand true friends stay forever beyond words beyond time gud ni
1730,ham,lol yeah point guess
2988,ham,im see cant see maybe reboot ym seen buzz
566,ham,ill call mrw ninish address icky american freek wont stop callin bad jen eh
2417,ham,could read love answered
792,ham,best ur driving tmr
2926,ham,coming day class
370,ham,cool text youre ready
3354,ham,emailed yifeng part oredi ü get fr
2394,ham,okey doke im home dressed cos laying around ill speak later bout times stuff
1212,ham,ok come ur home half hour
2900,ham,aight latest probably closer jay tyler two trips
5420,ham,dont know oh hopefully month
80,ham,sorry ill call later
4663,ham,ladies first genus second
4710,ham,haha awesome might need take doin tonight
337,ham,cool come havent wined dined
3522,ham,hey going quit soon xuhui working till end month
4072,ham,ive reached home bathe liao call
4481,ham,cant try new invention flyim joking
3291,ham,tuition hm go one mind
3212,ham,oh yeahand hav great time newquaysend postcard look girls im goneu know im talkin boutxx
1846,ham,hi want join sts later meeting five call class
688,ham,dearme cherthalain case coming cochin pls call bfore starti shall also reach accordinglyor tell day comingtmorow engaged ans holiday
2174,ham,hiya good day spoken since weekend
2266,ham,cant pick phone right pls send message
452,ham,thanks hope good day today
2182,ham,ok
1117,ham,hey time driving fri go evaluation fri
4486,ham,standing
1293,ham,da birthdate certificate april real date today dont publish shall give special treat keep secret way thanks wishes
932,ham,congratulations ore mo owo wa enjoy wish many happy moments fro wherever go
1562,ham,dnt worryuse ice pieces cloth packalso take tablets
5416,ham,slave want take pictures today bright light cell phone bright light
